trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",20,0,-229.2297967502726,"{0: 8, 1: 4, 2: 2, 3: 2, 4: 4}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",20,0,-93.25181079300462,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",20,0,-70.35715620792024,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",25,0,-90.48534599794368,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",25,0,-179.83160141321557,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",20,0,-71.52994270030018,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",30,0,-220.07761635318246,"{0: 13, 1: 5, 2: 7, 3: 3, 4: 2}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",20,0,-93.60433785779084,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",20,0,-59.37488400711151,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",20,0,-47.63545583915618,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",25,0,-109.5951590601218,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",30,0,-257.03942268254224,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 5}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",25,0,-127.02814060113218,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",25,0,-130.94600796498992,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",25,0,-135.4621595297256,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",25,0,-81.489075493456,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",30,0,-107.96395712401032,"{0: 18, 1: 4, 2: 5, 3: 3, 4: 0}",0
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",20,0,-157.50494042136532,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",20,0,-128.39028640225015,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",30,0,-220.97097989849627,"{0: 16, 1: 1, 2: 9, 3: 1, 4: 3}",0
1,True,"{'e': 0, 'a': 0}",25,0,-207.0394488376742,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
2,True,"{'e': 0, 'a': 0}",20,0,-89.14491104502223,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
3,True,"{'e': 0, 'a': 0}",25,0,-161.70191915348352,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
4,True,"{'e': 0, 'a': 0}",25,0,-60.1256360325052,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,True,"{'e': 0, 'a': 0}",35,0,-192.0861933873051,"{0: 20, 1: 2, 2: 9, 3: 2, 4: 2}",0
6,True,"{'e': 0, 'a': 0}",25,0,-83.02334677062638,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,True,"{'e': 0, 'a': 0}",25,0,-67.0497845376198,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
8,True,"{'e': 0, 'a': 0}",20,0,-87.67756846136315,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
9,True,"{'e': 0, 'a': 0}",20,0,-65.59896697544241,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
10,True,"{'e': 0, 'a': 0}",25,0,-107.8592122375766,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
